Erreur_détectée	Correction_proposée	Contexte	Fichier
eft	est	s détachées de quelques-uns de ces livres or ce n’eft point dans des pensées détachées que l’on peut co	5419000.txt
systême	système	 des pensées détachées que l’on peut connaître un systême de philofotome ii a  on ne connaît pas mieux ce f	5419000.txt
philofotome	Pas de correction trouvée	s détachées que l’on peut connaître un système de philofotome ii a  on ne connaît pas mieux ce fyfrême dans un 	5419000.txt
ii	ici	que l’on peut connaître un système de philofotome iii a  on ne connaît pas mieux ce fyfrême dans un pe	5419000.txt
fyfrême	effréné	 de philofotome ici a  on ne connaît pas mieux ce fyfrême dans un petit ouvrage imprimé en 1688 à amsterdam	5419000.txt
amsterdam	enstéra	e effréné dans un petit ouvrage imprimé en 1688 à amsterdamous le titre de morale de confucius et imprimé cet	5419000.txt
confucius	confusions	rimé en 1688 à enstéra sous le titre de morale de confuciuss et imprimé cette année le p du halte n’a pour ai	5419000.txt
qu	que	 titre des chapitres de ces livres j’ai donc peux que’une traduction françoise de ces livres serait ut	5419000.txt
françoise	Françoise	s de ces livres j’ai donc peux que’une traduction françoise de ces livres serait utile aux personnes auxquell	5419000.txt
eftpas	fêtas	utile aux personnes auxquelles la langue latine n’eftpasfamilière ou qui n’ont pas la traduction du p noël	5419000.txt
eft	est	ière ou qui n’ont pas la traduction du p noël qui eft en effet rare le p noëlétoitcertainementphilofopk	5419000.txt
noëlétoitcertainementphilofopke	Pas de correction trouvée	a traduction du p noël qui est en effet rare le p noëlétoitcertainementphilofopke observations xxx et il n’a fait fa traduction qu’	5419000.txt
xxx	choix	le p noëlétoitcertainementphilofopke observations xxxix et il n’a fait fa traduction qu’après une étude	5419000.txt
qu	que	e observations choix et il n’a fait fa traduction que’après une étude de vingt ans de la langue -chiuo	5419000.txt
chiuoife	chinoise	on que’après une étude de vingt ans de la langue -chiuoife je ne donne aujourdhui que la traduction de la sc	5419000.txt
aujourdhui	aujourd'hui	e de vingt ans de la langue -chinoise je ne donne aujourdhuii que la traduction de la science des adultes et c	5419000.txt
eft	est	uable la science des adultes ou la grande science eft un petit ouvrage de confucius donné et expliqué p	5419000.txt
confucius	confusions	ltes ou la grande science est un petit ouvrage de confuciuss donné et expliqué par fon disciple tfem-tfée l’o	5419000.txt
fon	Fond	petit ouvrage de confusions donné et expliqué par fond disciple tfem-tfée l’objet du maître et du disci	5419000.txt
tfem	t'en	de confusions donné et expliqué par Fond disciple tfem-tfée l’objet du maître et du disciple eft de fair	5419000.txt
eft	est	sciple t'en-tfée l’objet du maître et du disciple eft de faire connaître à l’homme les moyens de régler	5419000.txt
red	redû	famille l’influence des moeurs d’une famille bien redû  ij  ainsi félon confucius la politique fe rédui	5419000.txt
ij	id	e l’influence des moeurs d’une famille bien redû  ij  ainsi félon confucius la politique fe réduit à l	5419000.txt
confucius	confusions	s moeurs d’une famille bien redû  id  ainsi félon confuciuss la politique fe réduit à la morale et la morale 	5419000.txt
fon	Fond	le et la morale au rétablissement de l’homme dans fond état naturel c’eft-àdire au rétablissement de la	5419000.txt
eft	est	établissement de l’homme dans Fond état naturel c’eft-àdire au rétablissement de la droiture de la rais	5419000.txt
xxxvij	Rev	nclinations naturelles de l’homme le observations xxxvijnduisent à la paix à l’union à la concorde avec le	5419000.txt
eft	est	concorde avec les semblables et au bonheur ce qui eft l’objet du philosophe auflî-bien que du politique	5419000.txt
auflî	faufil	es et au bonheur ce qui est l’objet du philosophe auflîl-bien que du politique et le but de confucius dan	5419000.txt
confucius	confusions	losophe faufil-bien que du politique et le but de confuciuss dans l’ouvrage intitulé la grande science le jus	5419000.txt
tsée	tisée	uste milieu ou le milieu immuable a été donné par tséee-sée petit-fils de confucius l’objet de cet ouvra	5419000.txt
confucius	confusions	 immuable a été donné par tisée-sée petit-fils de confuciuss l’objet de cet ouvrage eft de prouver que l’homm	5419000.txt
eft	est	e petit-fils de confusions l’objet de cet ouvrage eft de prouver que l’homme a une loi qu’il doit suivr	5419000.txt
qu	que	 cet ouvrage est de prouver que l’homme a une loi que’il doit suivre inviolablement confucius examine 	5419000.txt
confucius	confusions	homme a une loi que’il doit suivre inviolablement confuciuss examine les pafïïons les inclinations les desirs	5419000.txt
pafïïons	pariions	doit suivre inviolablement confusions examine les pafïïons les inclinations les desirs et découvre dans le c	5419000.txt
eft	est	nné à l’homme pour le diriger etc pour le fixer n’eft que la droite raison confucius soulève jusquà la 	5419000.txt
confucius	confusions	iger etc pour le fixer n’est que la droite raison confuciuss soulève jusquà la fourced’oùelle émane ; il en p	5419000.txt
jusquà	jusqu'à	xer n’est que la droite raison confusions soulève jusquàà la fourced’oùelle émane ; il en parcourt les eff	5419000.txt
fourced	fources	ue la droite raison confusions soulève jusqu'à la fourced’oùelle émane ; il en parcourt les effets dans tou	5419000.txt
confucius	confusions	ont plutôt paraphrase que traduit ces ouvrages et confuciuss eft chez eux moins un philosophe observations xx	5419000.txt
eft	est	paraphrase que traduit ces ouvrages et confusions eft chez eux moins un philosophe observations xxx qu’	5419000.txt
xxx	choix	ons est chez eux moins un philosophe observations xxxix qu’un routeur c’eft ainsi que pensent les savan	5419000.txt
qu	que	t chez eux moins un philosophe observations choix que’un routeur c’eft ainsi que pensent les savants q	5419000.txt
routeur	router	eux moins un philosophe observations choix que’un routeurc’eft ainsi que pensent les savants qui ont lu ces	5419000.txt
eft	est	 un philosophe observations choix que’un router c’eft ainsi que pensent les savants qui ont lu ces ouvr	5419000.txt
eft	est	t lu ces ouvrages dans leur langue originale et c’eft ainsi que penseront ceux qui voudront comparer la	5419000.txt
intorceta	intercéda	ront comparer la traduction latine des pu couplet intorceta et noël avec ce que l’on trouve dans le premier v	5419000.txt
julie	Julien	le nom de  traduction de la grande science et  du julien milieu la grande science o u la science des adul	5419000.txt
lorfqu	lorsqu	ande bonté ou à la perfection et à ne arrêter que lorfqu’on eft arrivé au dernier degrés ai 4 ia grande sc	5419000.txt
eft	est	 ou à la perfection et à ne arrêter que lorsqu’on eft arrivé au dernier degrés ai 4 ia grande science l	5419000.txt
ia	la	r que lorsqu’on est arrivé au dernier degrés ai 4 ia grande science le caractère l’éducation le tempér	5419000.txt
fon	Fond	culté raisonnable ; mais on peut la rétablir dans fond état naturel et primitif en prenant pour guide l	5419000.txt
fenetres	fenêtres	 pour guide la lumière naturelle et en faisant de fenetres et de fréquents efforts pour ne sien pas écarter 	5419000.txt
eft	est	t de fréquents efforts pour ne sien pas écarter c’eft ainsi que l’on rend fon éclat au miroir en établi	5419000.txt
fon	Fond	our ne sien pas écarter c’est ainsi que l’on rend fond éclat au miroir en établissant le poli de fa sur	5419000.txt
say	sa	ar le temps ou ternie par les corps étrangers qui sayattachent lorsque l’homme a été assez heureux pour	5419000.txt
fonnable	fumable	rté primitive de la faculté raid grande science j fonnablefon premier soin doit fe porter vers les autres ho	5419000.txt
fon	Fond	itive de la faculté raid grande science j fumable fond premier soin doit fe porter vers les autres homm	5419000.txt
fon	Fond	 fe porter vers les autres hommes il faut que par fond exemple parles instructions et par les exportati	5419000.txt
difllpant	tillant	s qui les empêchent de rapprocher de la vérité en difllpantes ténèbres dont ils sont enveloppés en dégainant 	5419000.txt
vicieules	vicieuses	nt ils sont enveloppés en dégainant les habitudes vicieules qui les ont corrompus en sorte qu’ils deviennent 	5419000.txt
qu	que	abitudes vicieuses qui les ont corrompus en sorte que’ils deviennent des hommes nouveaux c’eft à-peupr	5419000.txt
eft	est	en sorte que’ils deviennent des hommes nouveaux c’eft à-peuprès ainsi qu’un habit qui n’étoit sali que 	5419000.txt
peuprès	peuples	te que’ils deviennent des hommes nouveaux c’est à-peuprès ainsi qu’un habit qui n’étoit sali que par quelqu	5419000.txt
qu	que	iennent des hommes nouveaux c’est à-peuples ainsi que’un habit qui n’étoit sali que par quelques tache	5419000.txt
étoit	étroit	nouveaux c’est à-peuples ainsi que’un habit qui n’étoitt sali que par quelques taches devient neuf lorfqu	5419000.txt
lorfqu	lorsqu	’étroit sali que par quelques taches devient neuf lorfqu’on les a enlevées a ii 6 la grande science enfin 	5419000.txt
ii	ici	es taches devient neuf lorsqu’on les a enlevées a iii 6 la grande science enfin celui qui travaille à 	5419000.txt
lorfqu	lorsqu	lté raisonnable ne doit cesser d’y travailler que lorfqu’il aura porté ton entreprise au dernier degré de 	5419000.txt
eft	est	é ton entreprise au dernier degré de perfection c’eft ainsi que le voyageur marche fans cesse et ne arr	5419000.txt
lorfqu	lorsqu	ue le voyageur marche fans cesse et ne arrête que lorfqu’il eft de retour dans fa maison celui qui sait où	5419000.txt
eft	est	geur marche fans cesse et ne arrête que lorsqu’il eft de retour dans fa maison celui qui sait où il doi	5419000.txt
qu	que	it tendre et arrêter a une destination et une fin que’il connaît et qui cet déterminée ; éclairé dirig	5419000.txt
fon	Fond	hors lorsque le calme règne dans les gens et dans fond coeur il peut rechercher examiner distinguer exa	5419000.txt
espece	espèce	ses un principal se un accessoire ; et dans toute espece d’entreprife un commencement et une fin à-peu-prè	5419000.txt
entreprife	entreprise	incipal se un accessoire ; et dans toute espèce d’entreprife un commencement et une fin à-peu-près comme il y 	5419000.txt
expofer	exposer	des un  la grande science ordre suis ne veulent s’expofer à tomber dans la méprise du cultivateur qui voudr	5419000.txt
desfruits	des fruits	la méprise du cultivateur qui voudrait recueillir desfruitss fur un arbre qu’il aurait planté fans racines ce	5419000.txt
qu	que	r qui voudrait recueillir des fruits fur un arbre que’il aurait planté fans racines cet ordre dans l’é	5419000.txt
eft	est	 état l’objet immédiat de cette grande entreprise eft la connaissance du terme où l’homme doit tendre e	5419000.txt
eft	est	issance du terme où l’homme doit tendre et la fin eft d’y arriver et de say fixer il eft bien difficile	5419000.txt
say	sa	homme doit tendre et la fin est d’y arriver et de sayfixer il eft bien difficile que celui qui connaît 	5419000.txt
eft	est	endre et la fin est d’y arriver et de sa fixer il eft bien difficile que celui qui connaît et qui suit 	5419000.txt
qu	que	la route de la vraie la grande science 9 vertu et que’il sien écarte après l’avoir découverte . tel fu	5419000.txt
ilfallait	il fallait	e vice us crurent que pour réussir dans ce projet ilfallaitt commencer par établir un bon gouvernement dans l	5419000.txt
qu	que	 dans leurs inclinations et dans leurs affections que’ils ne pouvaient établir l’ordre dans leurs incl	5419000.txt
qu	que	 dans leurs inclinations et dans leurs affections que’en affermifsant leur volonté dans l’amour du vra	5419000.txt
affermifsant	affermissant	eurs inclinations et dans leurs affections que’en affermifsant leur volonté dans l’amour du vrai bien et dans la	5419000.txt
ame	âme	en et dans la vraie haine du mal il fallait que l’ame à l’aide du raisonnement paquet une connaissance 	5419000.txt
ii	ici	quet une connaissance exacte se la grande science iii claire du bien et du mal que le seul moyen de l’	5419000.txt
eft	est	r était un examen exact de la nature des choses c’eft-à-dire l’étude de la philosophie ainsi la philoso	5419000.txt
diff	diffa	pports des objets a une connaissance claire et un diffa si la grande science garnement sûr du vrai et du	5419000.txt
